quantity,unit,ingredient,ingredient_step,recipe_id
1,,barspoon bonne maman raspberry preserves,3,161
1,,egg white,4,161
4.5,cl,gin,0,162
1.5,cl,raspberry syrup,1,162
1.5,cl,lemon juice,2,162
2,oz,wild turkey rye,0,163
0.75,oz,dolin rouge sweet vermouth,1,163
0.75,oz,benedictine,2,163
3,dash,es st. george absinthe,3,163
3,dash,es peychauds bitters,4,163
2,oz,rye (50% abv),0,164
0.5,oz,benedictine,1,164
0.5,oz,sweet vermouth,2,164
3,dash,es peychauds bitters,3,164
3,dash,es angostura bitters,4,164
3,dash,es absinthe,5,164
1,oz,rye,0,165
1,oz,cognac,1,165
0.5,oz,benedictine,2,165
2,dash,es peychauds,3,165
1,dash,absinthe,4,165
1,oz,gin,0,166
1,oz,kahlúa,1,166
1,oz,heavy cream,2,166
1 1/2,oz,malibu coconut rum,0,167
1/2,cup,coconut sorbet or gelato,1,167
1,oz,lime juice,2,167
1,oz,coconut milk,3,167
1,oz,pineapple juice,4,167
,,pineapple wedge,5,167
,,dusting of ground nutmeg,6,167
1 1/2,oz,bourbon,0,168
3/4,oz,crème de cacao,1,168
1/2,oz,lemon juice,2,168
1 1/2,oz,canadian whisky,0,169
1/2,oz,grand marnier,1,169
1/4,oz,lemon juice,2,169
,,orange twist,3,169
2,oz,reposado tequila,0,170
2,oz,grapefruit juice,1,170
1/2,oz,campari,2,170
2,,to 3 ounces chilled club soda,3,170
,,orange twist,4,170
,,* 0.5 oz. rittenhouse rye,0,171
,,* 0.5 oz. buffalo trace bourbon,1,171
,,* 0.5 oz. calvados,2,171
,,* 0.5 oz. hine h cognac,3,171
,,* 1 tsp rich demerara syrup,4,171
,,* 2 dashes angostura bitters,5,171
,,* 1 dash bittermens xocolatl mole bitters,6,171
2 1/2,oz,gin,0,172
1/2,oz,rose’s lime juice,1,172
,,lime wedge,2,172
2,oz,captain morgan spiced rum,0,173
1/2,,"banana, peeled and sliced",1,173
1/4,cup,or frozen raspberries,2,173
3/4,oz,lime juice,3,173
1/2,oz,simple syrup,4,173
2,,raspberries,5,173
1,,lime wheel,6,173
1.5,oz,cognac,0,174
0.5,oz,applejack,1,174
